,Value Date,Underlying,Implied Vol,NPY,delta,gamma,vega,theta
0,2020-10-20,205,0.2,2.1890687534484163,0.1378553462867764,0.0065655886059986165,36.94246974514956,-0.01583312327587739
1,2020-10-20,205,0.2,2.1730245280995955,0.137244245063977,0.006559329611815735,36.75411025820747,-0.015815717796798048
2,2020-10-20,210,0.2,2.925826838883464,0.17163999244379569,0.0074401841362225565,43.56599820965123,-0.018886104449017605
3,2020-10-20,210,0.2,2.906682524904169,0.1710038739048811,0.007438121864035853,43.371688589193035,-0.018877985737070793
4,2020-10-20,211,0.2,3.0221272911600274,0.17660019019457726,0.007604141037234255,44.198795184942185,-0.019488450385679677
5,2020-10-20,211,0.2,3.0221272911600274,0.17660019019457726,0.007604141037234255,44.198795184942185,-0.019488450385679677
6,2020-10-20,212,0.2,3.2025579063183085,0.18428924339182143,0.007773355580453784,45.611632168811035,-0.02012597666050897
7,2020-10-20,210,0.2,2.8301909242861765,0.16843704656961556,0.007429012773471248,42.590530230310634,-0.018843301793849264
8,2020-10-20,210,0.2,2.8110905742850862,0.1677896930692193,0.0074265138954656505,42.39425457226568,-0.018834062206858123
9,2020-10-20,210,0.19,2.3818721057732852,0.1527795491261594,0.007368665780019456,39.78932147894908,-0.016883597633785163
10,2020-10-20,210,0.19,2.36476082736688,0.15213675097107263,0.007363964578215426,39.59253965388976,-0.0168701155968437
11,2020-10-20,210,0.2,2.715735955566512,0.16451845600149242,0.007412620800326079,41.406899790621516,-0.018784282038178272
12,2020-10-20,210,0.2,2.715735955566512,0.16451845600149242,0.007412620800326079,41.406899790621516,-0.018784282038178272
13,2020-10-20,195,0.2,0.9757077885381937,0.07469890150733931,0.004546873790393805,21.900017611431842,-0.009846036431913473
14,2020-10-20,195,0.2,0.9657412989193546,0.07417860642164037,0.004532626191711643,21.73564232407922,-0.009813844077615635
15,2020-10-20,195,0.2,0.9558075836043608,0.07365782392189754,0.004518252461082332,21.571266812322317,-0.009781385417711693
16,2020-10-20,210,0.2,2.6586498229425497,0.16252770899237026,0.007403113539478306,40.809663386374176,-0.01875141871910799
17,2020-10-20,212,0.2,2.978406837155484,0.17702500726274714,0.007763655438649275,43.422366404312456,-0.020066037117037066
18,2020-10-20,220,0.22,5.687940543767758,0.26769091891959657,0.00868158741614597,56.74883600103895,-0.029316740616353115
19,2020-10-20,223,0.23,7.137673948488458,0.3050119281564745,0.008716532524427358,61.202771626292964,-0.033079272478221275
20,2020-10-20,223,0.25,8.379078287357562,0.3248450152117645,0.00823805628974041,62.873011508599106,-0.036829617848121395
